date,wallet,amount,mint,source
2022-01-22 22:08:58.000,Afg7Gqq6Y2e3QaJS962oXXDewwB6BuSCszvgTBSzFtSh,0.09817662,ETH,Wormhole Bridge
2021-12-26 03:55:00.000,AjnuML6Gxis2XyKdPDHymzGu2YbAqu2dMBCT2moPFZES,0.0,ETH,Wormhole Bridge
2021-12-26 02:26:24.000,At3kF2jz5ywrbfCHj3B61AktZ93PyJ7WGmbLn7SVkepv,0.0,ETH,Wormhole Bridge
2022-01-06 12:00:45.000,BAZScT86iXkM34AUi8UmoVchqDGUAW7VqaA22LSo62wu,0.0,USDCet,Wormhole Bridge
2021-12-04 02:05:46.000,BPji6Xh3F2pGDjET2yedVGGh6FvVFe7tXhZ96R8EQyso,12.71,ETH,Wormhole Bridge
2022-02-02 03:41:20.000,BPvofR9sj7D11swpMoJ124Ym2t2sLDAeqeLiYuUNatk6,3.7,ETH,Wormhole Bridge
2022-02-08 04:01:30.000,BXc6QRumLmZfiaDz6sE1yLMaZodgr2mTC69VQjF8ZomP,0.14189969,ETH,Wormhole Bridge
2022-01-22 03:41:40.000,BXteSLiZGeQGtwoB7QV4F93ZGUNFpyrqd7hPAeW2csnn,0.0,USDCet,Wormhole Bridge
2021-12-23 14:13:12.000,Bd6aLEsjszJqAy2NwYmuDw74GqG6SUQcukhhWmoqxEym,0.0,ETH,Wormhole Bridge
2022-01-05 15:28:09.000,Bqcf5VophU2FzmPdXY8ycCtkedz6ikWVEaWJconKHAEe,1000.0,USDCet,Wormhole Bridge
2021-12-08 00:11:15.000,BtVsV9nto53xwCsgrgmd3TaNbARYWmCUAuEr3KRLSqJS,0.0,ETH,Wormhole Bridge
2022-02-10 18:58:55.000,C3UuZnCG7SrViycFXq3Rgg331mQsjhPSH31yHKntUt4t,0.07,ETH,Wormhole Bridge
2021-12-19 15:10:57.000,C83GxcNFTC2tK22rLCCrLKYRkckbNVGsjethN5iswgfC,0.8,ETH,Wormhole Bridge
2021-12-02 21:35:08.000,C8ncTtyDGHNMedpb4ZqFGp3fou1zzGPBzqytSRHAFNRa,51.75,ETH,Wormhole Bridge
2022-02-06 23:48:09.000,CU2UDzD2vwiu1zSbaJfy26st2LJ2mMfRSL4uDMtSApKi,800.0,USDCet,Wormhole Bridge
2021-12-10 08:08:01.000,CkhMtpyp8P2VYfQrN4WwZvAP3MuHByJMVUZfoZCdA83J,0.13,ETH,Wormhole Bridge
2022-01-12 08:28:22.000,Cpg2mA1MetDk4ZacEvtAztTuzDMTjSy1rQBfEs16AEbn,15370.81903164,FRAX,Wormhole Bridge
2021-12-06 03:04:26.000,DN5cDZjLc9dtHSAVa6pnEUcHJ5bX7GYGdbYEVqG5UNSg,0.0,USDCet,Wormhole Bridge
2022-01-05 17:00:56.000,DNg7rDPS8cBuZapvutLLmtB8wvZYitm3A8pw7gdzj4oA,0.0792,ETH,Wormhole Bridge
2022-01-24 03:51:39.000,DSZp3X7NmfyiAxXAfGYR2RYH7quTN3kc2oyyg6caPSfy,0.0,USDCet,Wormhole Bridge
2021-12-06 10:37:39.000,Dmgkcw7oR9d4u46mq5bUdokvx9oBcvnU2Awimfh8Y3rP,13.0,ETH,Wormhole Bridge
2022-01-18 11:12:09.000,Dn5S4fmiBp2GeNS1iYoM6sX4M6okXvWJiuixhKTKwSjr,11634.785235,USDTet,Wormhole Bridge
2022-02-04 05:45:41.000,DosstPj5rXVk2Fr8A4wY8LmVi9djBdDdB5Z4JoiCEXSL,80850.0,USDCet,Wormhole Bridge
2022-01-04 18:18:57.000,DvPTgJYY4p3B3S3uH1iES7Z3aFnB3UXXPmX6Mk3su7M1,771.0,USDCet,Wormhole Bridge
2021-12-07 06:07:38.000,DytWCkkyjEHxGNsaehcDbmfAKLuLBNkJR8gjMES7yrYd,0.16,ETH,Wormhole Bridge
2021-12-31 15:33:16.000,E7enH6pJDPS4yLDnuzWNEonbC11oGGE7rqXZMQvKRgfb,0.05,ETH,Wormhole Bridge
2021-12-04 01:20:13.000,EBuKmW6TM1JrHjnYX375GApJvJNdksPZWx4Ae6kZDRA3,0.0,PEOPLE,Wormhole Bridge
2021-12-11 16:07:19.000,EJqEWLEGtd1gTREUHsbRUWzUrRZDwqwr8rycFYQa9WQL,50124.284577,USDTet,Wormhole Bridge
2021-12-01 05:20:57.000,ESj7WidZkXDd2xEAp6zoEXakKZUmFTXxypqykwGm52w5,0.0,PEOPLE,Wormhole Bridge
2022-01-01 11:50:36.000,EToqvQTpzBfLfgPLf2vbpSkLt4isU6hR6E3Dhcx1uCD9,4312.94702576,SUSHI,Wormhole Bridge
2022-01-25 08:17:06.000,EqXDz9raeusMrubFvZj8HzPrezRpsqhpTBb4mxErDMXJ,389.063928,USDTet,Wormhole Bridge
2022-02-04 16:33:24.000,EsSvFjkDL4ZpWnyWqKq13cnB4yBa5LZSTMquJSuj8M5G,0.2,LDO,Wormhole Bridge
2021-12-15 01:51:17.000,FLgoPkup2SKEWbogjxwuF9VwwMFXRKN6iubuUJhMoPmQ,1.2,ETH,Wormhole Bridge
2022-02-10 06:27:22.000,FUWrhXz7iE41wWhf4HLz3Na6jkoMRBBVLTfYVcaY3yZA,0.0,ETH,Wormhole Bridge
2022-01-07 23:02:55.000,FcBkhgKQvZwhVuZBbz7hovN6SZHdhTaZ3bSJzG1afDZU,0.0,PEOPLE,Wormhole Bridge
2022-01-14 11:54:01.000,Fm3KCs8aNHgNK6SLX4uMqtX5JqshtEdBGSUkFYKcjY2F,1323.63625675,LDO,Wormhole Bridge
2022-01-06 14:23:49.000,FmkrkF2cM4ERD4kSccFxPTrTiRn15XdRXhccBkx4kp4t,15785.530079,USDCet,Wormhole Bridge
2022-02-17 20:53:47.000,FqtR9w39e5UFvY52iSvgpjHtnK9NEgR4A1uay8gtGob6,10.1,ETH,Wormhole Bridge
2022-01-23 14:40:49.000,FuWEFcCNisV3ZnS14fU7y2BF4LGkDGvjt4YRrydBP1Cd,0.0,USDCet,Wormhole Bridge
2022-01-09 02:37:14.000,FwpCPTbMJ8CXFLor7vp6KftM1y2M7FqvyKJu5Z1zufRE,0.93070778,HBTC,Wormhole Bridge
2022-01-14 06:23:45.000,FyEhLmntYQNP4Hcew4H8ZBxZSfAYhQ7CEcS4SRP9FxQK,0.0,FTMet,Wormhole Bridge
2022-01-22 18:40:05.000,G9zkVvWYPCMwACEG6qxkKCfRCuw3MsNzcRRpmRZvv3Ho,30.0,ETH,Wormhole Bridge
2021-12-20 22:44:37.000,GAGani3SEh3AydSWcv6n9WHjZKosUu3WHGF6aidGHQtD,0.0,agEUR,Wormhole Bridge
2021-12-01 21:30:13.000,GXbJWY8H5YwvhrRYZvSWUAcGMGjR7ygUkQNwZxefgzdm,22005000000.0,SHIB,Wormhole Bridge
2022-02-18 22:28:15.000,Gy9bFHpebsheCoTHFHQBn49XaSnfT8gftvYdqEBjga9F,0.04,ETH,Wormhole Bridge
2022-02-23 08:55:57.000,H58zveXJ7E6oTtmSGxgKmSyxtuBsDFEekAEbseRCnJXP,270.0,ETH,Wormhole Bridge
2021-12-25 07:07:44.000,H8avLeidfpcnYKtcykCcwyUPeDR8yAVDyr2d4sUk4Jqs,0.05,ETH,Wormhole Bridge
2021-12-22 11:06:08.000,H8wYaRqc2wQuE3AdnSA2bCbukzxZEUCS5KbGYNsLAoho,0.1,ETH,Wormhole Bridge
2022-02-27 03:29:21.000,HDdW6JWkCKqzU4v8Z1PxBMh5etEdz5wjJyCKoT9Cp6uJ,0.0,ETH,Wormhole Bridge
2021-12-03 00:29:41.000,HEBfXKcNaWUzzYz4TsBjNCRa95mhxKNVuHDTwJvxWqx4,2.0,ETH,Wormhole Bridge
2021-12-02 09:32:33.000,HYZK5yVxZscmML8RvDzAT24rJSn8qK9uGbDmcV8jtj9e,0.0,ETH,Wormhole Bridge
2022-01-23 10:28:48.000,HZgoF1UpAvj8U3wFQSTrdUNcAz9gRcEZEFj3XZ6KNaTH,0.0,USDCet,Wormhole Bridge
2021-12-20 04:02:01.000,Hh9bgNxxFzoUUa9uBuceaGApbZiEJdEsVQZDhzjKx4Ey,0.01,ETH,Wormhole Bridge
2021-12-27 14:21:36.000,Hiv8H5LTwWL7FT2BDs76yZysDXHtMMWnxS7bWdErzWUk,0.0,USDCet,Wormhole Bridge
2021-12-08 20:43:36.000,HjWNv9cLnyubQNViLqpsyC8Hb67QGeASAo129jAXS4ZM,345.70127122,FTT,Wormhole Bridge
2022-02-19 12:43:44.000,HtEQ8Qbwti4LM24y7qRPXYHu6yNCx8XRjgc2zFDZ8y1B,0.0,ETH,Wormhole Bridge
2022-02-15 19:24:22.000,HxTw2oEoGFKt6hWNGPcvvonG8CwPSipdkHVcFKvx2qtD,2.12989,aeWETH,Allbridge Bridge
2022-01-07 06:13:17.000,T4VB5C4YSNQo9WCmAG8wSkFNpFoLuEhUypwYrc7ixzT,0.5,ETH,Wormhole Bridge
2021-12-05 00:54:29.000,f8QgvxyvRGippbs6kfhWo1e81GTkibRvrimCGzarFtD,0.0,ETH,Wormhole Bridge
2021-12-02 20:48:09.000,zLTuMVfVswjMkhyvjaXnvjcKXv5xNk3iSWSjRGpVqXf,0.3,ETH,Wormhole Bridge
2022-01-31 13:20:00.000,zLUP6GSDwv7zFgSp1zk4XjpXvSd6EnzrrvUapt1BSF3,0.0,USDCet,Wormhole Bridge
2021-12-07 20:18:11.000,14XudGLd5fbpbZHPFZw4bLMUBZEDTVxAsytA9wjKnJgS,5999.504949,aeUSDC,Allbridge Bridge
2022-01-03 01:06:26.000,22VvQpW4uzxkAkCMNmqQgtbQaT31SiCgFXsKBX7aH4bd,0.0,WBTC,Wormhole Bridge
2021-12-25 10:26:53.000,29xygSbS1aLEZPfsrdNN4bTtTt41J9RA2X1qshrEb17g,0.0,USDCet,Wormhole Bridge
2021-12-02 00:29:12.000,2MuFSgxNTyPagvLf74y5mgAdX1Dgso7XcjCESDCTye9v,0.0,ETH,Wormhole Bridge
2022-01-05 23:02:02.000,2TQvfeg7qHW9qPnUvn9QbNhUfqkokxUqAiLij2EyP6jT,0.0,ETH,Wormhole Bridge
2021-12-25 12:03:54.000,2UM8FaeMZgrQSzGr2TPEhWnz38oRffy6C5dy8opWoH7x,0.0,ETH,Wormhole Bridge
2021-12-17 07:40:14.000,2YXfWyXapaLu3oeqW2hQ64TdZRQzkEQVLpVBYpMFdeYH,0.0,USDCet,Wormhole Bridge
2022-02-15 22:16:40.000,2ZirgcsPPEjtniY1HdKBTLK6LE9ysZ294E4FJnvPZs5w,2519.051538,USDCet,Wormhole Bridge
2021-12-03 17:53:55.000,2q573FduySRmKuVZMLhJbVswAvWQUCUL6Bs137atHZQD,200.0,ETH,Wormhole Bridge
2021-12-01 17:09:07.000,2ukToGwz4qr5ZEjLMVW3tLbAD5pvpW1odjzDufPTd4H2,0.02,ETH,Wormhole Bridge
2022-01-03 06:02:11.000,34V6WrcKzzhRSeQm57Fr1Ko7auhorwyXFkxaCBoAxawa,0.0,ETH,Wormhole Bridge
2021-12-01 10:31:54.000,34YcosnBuCDvBKRNGXsxWiobivi2Vg1FDwJKpZaTGTvJ,0.0,ETH,Wormhole Bridge
2022-01-15 17:27:26.000,35yWwnV568Q253B81xg1SXigxfmXEhSCJofjjWsP9WHR,0.0,ETH,Wormhole Bridge
2021-12-12 16:01:05.000,39YCEJ5t1AdRGTd7wRhTFt6ppZgWD2KXmUjn4pqY8Gso,1.00989,aeWETH,Allbridge Bridge
2021-12-26 05:34:56.000,3DkGsCMMM5nCXB8MjMHiKYLgHwphq7niLNew3skNvWiy,0.0,ETH,Wormhole Bridge
2021-12-15 15:04:23.000,3EQ84HbDgx7WBuk85yXJ97x4B7K22sH3AMcZ2iGxMo9J,2631994386.12,SHIB,Wormhole Bridge
2022-01-15 11:03:08.000,3H5qnZruD4kGgEa1jJfwjJydf9VWzn1nxRn8Y6QGMkDo,0.0,USDTet,Wormhole Bridge
2021-12-16 06:03:50.000,3HyFAcESGKzJMvajjavEqFYgYDFWT6gwe3u3j63wGVuF,0.07189,aeWETH,Allbridge Bridge
2021-12-10 22:20:55.000,3HyFAcESGKzJMvajjavEqFYgYDFWT6gwe3u3j63wGVuF,0.09,ETH,Wormhole Bridge
2022-01-02 20:18:26.000,3VGz1GX4m123ACUWScVRmYpBTHuGKiih78nnaJUPEXUa,0.0,ETH,Wormhole Bridge
2021-12-17 17:40:46.000,3W9YCKUZfZNW4oC6SK6CbNbmxiBRudWbdorbbQVFqi2H,0.0,USDCet,Wormhole Bridge
2021-12-04 23:16:20.000,3bZNs2FsEpZTqPyfNydCgyBvofwEiiyFSqNFHUJuiUWP,2200.0,USDCet,Wormhole Bridge
2021-12-12 00:32:59.000,3e2XTaQrbpueGKg1RVnV2uxFWdjWyUq3wSKcpzg8jjVG,0.257,ETH,Wormhole Bridge
2022-02-17 20:08:50.000,3gfre6Az6vQp3xy6MUuibewovY98host1PpPSuFHMQG5,0.0,USDTet,Wormhole Bridge
2022-02-08 19:30:10.000,3jJtWVTi4nYSF319D2AxG4efPzgs4y1ARWKfzdyuZURD,0.0,USDCet,Wormhole Bridge
2021-12-18 08:27:59.000,3omJEg1TYcyRibP5AubceEfmRxQECiBMsPtsX4VZWvoW,0.0,ETH,Wormhole Bridge
2022-01-21 22:28:23.000,3pmKBt7ypskjY8e651ixKL45PCQAqqCPApKKV6tvKPia,0.0,SUSHI,Wormhole Bridge
2021-12-21 11:24:45.000,3seMbFjg4TBvEpd7yCxyeeYnN9sKEKLm1vjH4Lmoc1ip,2.6,ETH,Wormhole Bridge
2022-01-23 14:46:35.000,42ccYUFKv58eQR8UrdG1tGCcQ313h5FwVQVvRME8ziMp,0.0,ETH,Wormhole Bridge
2022-02-10 04:00:33.000,454Km5QuJKUa2BJv49Lj549qKmZmHnb2PPbCuKGRzbk6,77.05641,USDTet,Wormhole Bridge
2022-01-31 17:05:11.000,45jbHZxj2JtGdsbzdTHqsMASzfi25fRYb9TMkDqYP5qZ,0.0,LDO,Wormhole Bridge
2022-01-15 07:45:51.000,47RGuZuhiRZuVH4VaybGiFNnPJgo6UNJLh1gJDj6wwBy,10.0,USDTet,Wormhole Bridge
2022-02-22 22:35:24.000,48vHAKizDrLgtfYghgRu4U16J3zxuXQJGcdXpDUG2VJV,1.0,LDO,Wormhole Bridge
2022-01-23 23:20:14.000,49Zqhw2AMaf8CxZxgFuYBKWsZvGznjb18HANazMUkKm9,0.0,USDTet,Wormhole Bridge
