date_stake,stake_pool_name,staker_status,deposit,withdraw,net_deposit
2022-02,Eversol,34.0,9448.219724953,5851.467938095,3596.7517868580003
2022-02,Jpool,615.0,1050142.546179217,25038.731387384,1025103.814791833
2022-02,Lido,6433.0,3568311.149142906,1074374.46446244,2493936.684680466
2022-02,"Lido,Marinade",274.0,4254.482,0.0,4254.482
2022-02,Marinade,49257.0,14334725.528909272,3816692.530811584,10518032.998097688
2022-02,Socean,15918.0,916379.194061672,40801.165063645,875578.028998027
2022-03,Daopool,1737.0,134797.956747975,60993.958378281,73803.998369694
2022-03,"Daopool,Lido",2.0,3.01,0.0,3.01
2022-03,"Daopool,Marinade",80.0,0.14,0.0,0.14
2022-03,Eversol,40.0,9850.382644398,6497.327965271,3353.054679127
2022-03,Jpool,644.0,1053740.479782015,30809.049372319,1022931.4304096961
2022-03,Lido,8125.0,4877003.764149208,1377424.689966338,3499579.07418287
2022-03,"Lido,Marinade",279.0,4259.232,0.0,4259.232
2022-03,Marinade,52088.0,15084478.89419493,4536294.088650817,10548184.805544114
2022-03,"Marinade,Socean",2.0,0.2,0.0,0.2
2022-03,Socean,16407.0,943710.299841261,41518.602929668,902191.6969115931
2022-04,Daopool,1747.0,144960.448802973,71997.763354311,72962.685448662
2022-04,"Daopool,Lido",3.0,4.01,0.0,4.01
2022-04,"Daopool,Marinade",84.0,0.144,0.0,0.144
2022-04,Eversol,50.0,11457.58426809,6603.2409255719995,4854.343342518
2022-04,Jpool,635.0,1075464.492337832,50697.66034769,1024766.831990142
2022-04,Lido,9290.0,5518156.477265115,1865785.882977626,3652370.594287489
2022-04,"Lido,Marinade",278.0,3326.9719999999998,0.0,3326.9719999999998
2022-04,Marinade,53491.0,15786172.158611184,4935858.180925518,10850313.977685666
2022-04,"Marinade,Socean",1.0,0.1,0.0,0.1
2022-04,Socean,16766.0,947937.933198618,42130.963917731,905806.9692808869
2022-05,Blazestake,32.0,120.817,15.029100757,105.787899243
2022-05,Daopool,1756.0,145804.209267973,88676.053599077,57128.155668896004
2022-05,"Daopool,Lido",2.0,3.01,0.0,3.01
2022-05,"Daopool,Marinade",85.0,100.144,0.0,100.144
2022-05,Eversol,49.0,11583.82626809,6995.566672295,4588.259595795
2022-05,Jpool,650.0,1125709.394005073,93902.384840271,1031807.009164802
2022-05,Lido,9753.0,5751504.373867978,2879261.039689769,2872243.334178209
2022-05,"Lido,Marinade",278.0,3387.822,0.0,3387.822
2022-05,"Lido,Marinade,Socean",1.0,5.2975,0.0,5.2975
2022-05,Marinade,54257.0,16540327.607067106,5885859.082701094,10654468.524366012
2022-05,"Marinade,Socean",4.0,1.4000000000000001,0.0,1.4000000000000001
2022-05,Socean,16911.0,961777.784617739,57614.302699139,904163.4819186
2022-06,Blazestake,36.0,271.7133,71.260807202,200.452492798
2022-06,"Blazestake,Eversol,Lido,Marinade,Socean",1.0,0.1,0.0,0.1
2022-06,Daopool,1764.0,149651.637506972,91230.56256059499,58421.074946377
2022-06,"Daopool,Lido",2.0,3.01,0.0,3.01
2022-06,"Daopool,Marinade",85.0,100.144,0.0,100.144
2022-06,Eversol,53.0,11636.145767967999,7037.921970461,4598.223797507
2022-06,Jpool,696.0,1264589.715332807,224817.144253136,1039772.571079671
2022-06,Lido,10009.0,6435901.505511228,3713973.002444127,2721928.503067101
2022-06,"Lido,Marinade",277.0,3350.4719999999998,0.0,3350.4719999999998
2022-06,"Lido,Marinade,Socean",1.0,5.2975,0.0,5.2975
2022-06,Marinade,54652.0,18506304.85849318,6604422.234216323,11901882.624276854
2022-06,"Marinade,Socean",5.0,11.4,0.0,11.4
2022-06,Socean,17014.0,973096.180920511,59553.120755149,913543.060165362
2022-07,Blazestake,45.0,497.450599999,248.79152899699997,248.65907100200002
2022-07,"Blazestake,Eversol,Lido,Marinade,Socean",1.0,0.1,0.0,0.1
2022-07,Daopool,1770.0,152700.115604972,96271.839143779,56428.276461192996
2022-07,"Daopool,Lido",1.0,3.0,0.0,3.0
2022-07,"Daopool,Marinade",85.0,100.144,0.0,100.144
2022-07,Eversol,60.0,11664.155662669,7041.218529415,4622.937133254
2022-07,Jpool,707.0,1494640.341715218,464395.437267873,1030244.9044473451
2022-07,Lido,10518.0,7343704.530544137,3885687.821794417,3458016.70874972
2022-07,"Lido,Marinade",281.0,4385.237,0.0,4385.237
2022-07,"Lido,Marinade,Socean",1.0,9.127500000000001,0.0,9.127500000000001
2022-07,Marinade,55043.0,19274690.232990064,6807335.369358605,12467354.863631459
2022-07,"Marinade,Socean",6.0,11.424999999999999,0.0,11.424999999999999
2022-07,Socean,17115.0,974420.682638159,60436.542110187,913984.140527972
2022-08,Blazestake,60.0,3219.8302065870002,452.350772036,2767.479434551
2022-08,"Blazestake,Eversol,Lido,Marinade,Socean",1.0,0.1,0.0,0.1
2022-08,Daopool,1778.0,154143.121092972,97739.012294689,56404.108798283
2022-08,"Daopool,Lido",1.0,3.0,0.0,3.0
2022-08,"Daopool,Marinade",85.0,100.144,0.0,100.144
2022-08,"Daopool,Socean",1.0,0.0001,0.0,0.0001
2022-08,Eversol,71.0,11941.376217325,7220.225291823,4721.150925502
2022-08,Jpool,719.0,1502898.901411934,468327.8666619,1034571.034750034
2022-08,Lido,11480.0,9146962.506024372,4650364.733504231,4496597.772520141
2022-08,"Lido,Marinade",282.0,3501.947,0.0,3501.947
2022-08,"Lido,Marinade,Socean",1.0,9.127500000000001,0.0,9.127500000000001
2022-08,Marinade,55344.0,20461421.06359338,7762283.443360732,12699137.62023265
2022-08,"Marinade,Socean",6.0,11.424999999999999,0.0,11.424999999999999
2022-08,Socean,17147.0,989439.514753918,138700.777857054,850738.736896864
2022-09,Blazestake,62.0,3258.178716587,696.093935082,2562.084781505
2022-09,"Blazestake,Eversol,Lido,Marinade,Socean",1.0,0.1,0.0,0.1
2022-09,Daopool,1788.0,156227.603576972,102396.393023214,53831.210553758
2022-09,"Daopool,Lido",1.0,3.0,0.0,3.0
2022-09,"Daopool,Marinade",85.0,100.144,0.0,100.144
2022-09,"Daopool,Socean",1.0,0.0001,0.0,0.0001
2022-09,Eversol,75.0,12876.658980047,7438.931337045,5437.727643002
2022-09,"Eversol,Lido,Marinade,Socean",1.0,3.0,0.0,3.0
2022-09,Jpool,721.0,1509852.261890237,472059.998407308,1037792.2634829291
2022-09,Lido,12192.0,10140452.721418763,4961431.223841308,5179021.497577455
2022-09,"Lido,Marinade",286.0,3455.5344999999998,0.0,3455.5344999999998
2022-09,Marinade,55647.0,20875592.11217509,8187738.253642917,12687853.858532172
2022-09,"Marinade,Socean",6.0,11.424999999999999,0.0,11.424999999999999
2022-09,Socean,17176.0,995224.45684402,148543.874226008,846680.582618012
2022-10,Blazestake,67.0,3290.0203165870003,828.029752819,2461.990563768
2022-10,"Blazestake,Eversol",1.0,4.0,0.0,4.0
2022-10,"Blazestake,Eversol,Lido,Marinade,Socean",1.0,0.1,0.0,0.1
2022-10,Daopool,1793.0,157967.192104971,104561.47319312001,53405.71891185099
2022-10,"Daopool,Lido",1.0,3.0,0.0,3.0
2022-10,"Daopool,Marinade",86.0,101.144,0.0,101.144
2022-10,"Daopool,Socean",1.0,0.0001,0.0,0.0001
2022-10,Eversol,77.0,13370.538432394,8944.42669786,4426.111734534
2022-10,"Eversol,Lido,Marinade,Socean",1.0,3.0,0.0,3.0
2022-10,Jpool,730.0,1513668.529065752,474452.613216892,1039215.91584886
2022-10,Lido,12751.0,10701128.628621573,5627965.8561945185,5073162.772427054
2022-10,"Lido,Marinade",290.0,3504.6193,0.0,3504.6193
2022-10,Marinade,55910.0,22366638.186094414,8565807.04052744,13800831.145566976
2022-10,"Marinade,Socean",6.0,11.424999999999999,0.0,11.424999999999999
2022-10,Socean,17221.0,1104657.934113513,242807.435906428,861850.498207085
2022-11,Blazestake,86.0,10820.346726586,3031.894156279,7788.452570307
2022-11,"Blazestake,Eversol,Lido,Marinade,Socean",1.0,0.1,0.0,0.1
2022-11,Daopool,1794.0,159970.72037214,138479.352203696,21491.368168443998
2022-11,"Daopool,Lido",1.0,3.0,0.0,3.0
2022-11,"Daopool,Marinade",86.0,101.144,0.0,101.144
2022-11,"Daopool,Socean",1.0,0.0001,0.0,0.0001
2022-11,Eversol,76.0,14192.556081178,16071.139510833,-1878.5834296550006
2022-11,"Eversol,Lido,Marinade,Socean",1.0,3.0,0.0,3.0
2022-11,Jpool,734.0,1530980.88518781,488751.21370033,1042229.67148748
2022-11,Lido,13184.0,11476234.077007065,7367105.008297827,4109129.068709238
2022-11,"Lido,Marinade",292.0,3665.8193,0.0,3665.8193
2022-11,"Lido,Socean",1.0,0.05,0.0,0.05
2022-11,Marinade,56204.0,22820957.29948011,9267795.348258447,13553161.951221664
2022-11,"Marinade,Socean",6.0,2.4250000000000003,0.0,2.4250000000000003
2022-11,Socean,17260.0,1111771.206186684,251624.094505989,860147.111680695
2022-12,Blazestake,132.0,17735.326929403,9492.07535243,8243.251576973
2022-12,"Blazestake,Eversol,Lido,Marinade,Socean",1.0,0.1,0.0,0.1
2022-12,Daopool,1794.0,160144.951815084,138883.95729267,21260.994522413996
2022-12,"Daopool,Lido",1.0,3.0,0.0,3.0
2022-12,"Daopool,Marinade",86.0,101.144,0.0,101.144
2022-12,"Daopool,Socean",1.0,0.0001,0.0,0.0001
2022-12,Eversol,80.0,14274.704075916,16378.386884553,-2103.6828086370006
2022-12,"Eversol,Lido,Marinade,Socean",1.0,3.0,0.0,3.0
2022-12,Jpool,743.0,1543051.104550895,489056.93923748797,1053994.165313407
2022-12,Lido,13635.0,11778906.89839669,7421269.182067584,4357637.716329106
2022-12,"Lido,Marinade",290.0,3660.5193,0.0,3660.5193
2022-12,"Lido,Socean",1.0,0.05,0.0,0.05
2022-12,Marinade,56244.0,23094685.904309426,9634207.781874852,13460478.122434571
2022-12,"Marinade,Socean",6.0,2.4250000000000003,0.0,2.4250000000000003
2022-12,Socean,17279.0,1117129.208867194,255455.520933005,861673.687934189
2023-01,Blazestake,194.0,30917.837529402,10275.637393612,20642.20013579
2023-01,"Blazestake,Eversol,Lido,Marinade,Socean",1.0,0.1,0.0,0.1
2023-01,Daopool,1795.0,160183.840703972,138917.769009757,21266.071694214996
2023-01,"Daopool,Lido",1.0,3.0,0.0,3.0
2023-01,"Daopool,Marinade",86.0,101.144,0.0,101.144
2023-01,"Daopool,Socean",1.0,0.0001,0.0,0.0001
2023-01,Eversol,82.0,14313.254075916,16400.725111913,-2087.471035997001
2023-01,"Eversol,Lido,Marinade,Socean",1.0,3.0,0.0,3.0
2023-01,Jpool,745.0,1543552.952005719,489204.15660873597,1054348.7953969832
2023-01,Lido,13754.0,11842917.958509373,7438801.6130224615,4404116.345486911
2023-01,"Lido,Marinade",290.0,3660.5193,0.0,3660.5193
2023-01,"Lido,Socean",1.0,0.05,0.0,0.05
2023-01,Marinade,56238.0,23151332.3480433,9695103.086500248,13456229.261543052
2023-01,"Marinade,Socean",6.0,2.4250000000000003,0.0,2.4250000000000003
2023-01,Socean,17281.0,1117724.984219983,256382.59375767398,861342.390462309
